Open,High,Low,Close,Volume,NumberOfTrades,TakerBuyBaseAssetVolume,return,returnz_n,day_of_month,year,month,week_day,candlestick_pattern,candlestick_match_count,candlestick_rank,candle,date
13382.16,15473.49,12890.02,14675.11,20078.092111,177728,11346.326739,,,2,2018,1,1,NO_PATTERN,0.0,0.0,No,2018-01-02
14690.0,15307.56,14150.0,14919.51,15905.667639,162787,8994.953566,0.01665404893046807,0.01651689098613066,3,2018,1,2,NO_PATTERN,0.0,0.0,No,2018-01-03
14919.51,15280.0,13918.04,15059.54,21329.649574,170310,12680.812951,0.009385696983345904,0.00934192500328923,4,2018,1,3,NO_PATTERN,0.0,0.0,No,2018-01-04
15059.56,17176.24,14600.0,16960.39,23251.491125,192969,13346.622293,0.1262223148914241,0.11886894796584493,5,2018,1,4,NO_PATTERN,0.0,0.0,No,2018-01-05
16960.39,17143.13,16011.21,17069.79,18571.457508,158242,11007.164056,0.0064503233711017405,0.006429609063577102,6,2018,1,5,NO_PATTERN,0.0,0.0,No,2018-01-06
17069.79,17099.96,15610.0,16150.03,12493.125558,120269,6779.320508,-0.05388232661327408,-0.05538832719388593,7,2018,1,6,CDLHIKKAKE_Bull,1.0,85.0,Bull,2018-01-07
16218.85,16322.3,12812.0,14902.54,26600.609912,208642,13756.844389,-0.0772438193613263,-0.08039023903033347,8,2018,1,0,NO_PATTERN,0.0,0.0,No,2018-01-08
14902.54,15500.0,14011.05,14400.0,14315.004253,156656,6841.233287,-0.03372176823548201,-0.034303461639791186,9,2018,1,1,NO_PATTERN,0.0,0.0,No,2018-01-09
14401.0,14955.66,13131.31,14907.09,17411.001655,161476,8529.554675,0.03521458333333327,0.03460873212019189,10,2018,1,2,CDLHIKKAKE_Bull,1.0,85.0,Bull,2018-01-10
14940.0,14968.68,11400.0,13238.78,33554.723751,239416,16422.01998,-0.11191386112245916,-0.11868653745400316,11,2018,1,3,CDLENGULFING_Bear,1.0,91.0,Bear,2018-01-11
13238.76,14109.78,12500.0,13740.01,16417.162137,134452,8117.312075,0.03786073943369406,0.0371616133478326,12,2018,1,4,NO_PATTERN,0.0,0.0,No,2018-01-12
13749.95,14580.0,13706.15,14210.0,12221.508528,123639,5574.178408,0.034205943081555334,0.03363392751303307,13,2018,1,5,CDLHIKKAKE_Bear,2.0,83.0,Bear,2018-01-13
14210.0,14339.5,12569.2,13474.99,17017.894329,152364,8288.382911,-0.05172484166080227,-0.05311056742925163,14,2018,1,6,CDLHAMMER_Bull,1.0,65.0,Bull,2018-01-14
13477.98,14249.99,13147.79,13539.93,14652.094705,145362,7431.063272,0.004819298567197539,0.004807722923946996,15,2018,1,0,CDLRICKSHAWMAN_Bull,5.0,35.0,Bull,2018-01-15
13500.0,13542.93,9035.0,10900.0,63401.169175,418243,30353.401717,-0.19497368154783667,-0.21688030836860656,16,2018,1,1,CDLSEPARATINGLINES_Bear,3.0,40.0,Bear,2018-01-16
10899.99,11680.99,9037.94,10988.79,72331.796646,517293,35412.798137,0.0081458715596332,0.008112873027980404,17,2018,1,2,CDLLONGLEGGEDDOJI_Bull,4.0,37.0,Bull,2018-01-17
10972.59,11878.82,10435.33,10961.97,48464.434937,393112,23814.382845,-0.0024406690818553622,-0.0024436523697732144,18,2018,1,3,CDLRICKSHAWMAN_Bull,6.0,35.0,Bull,2018-01-18
10960.0,11795.0,10360.0,11474.98,34129.375421,273271,16871.416355,0.046799069875214094,0.045737003132394885,19,2018,1,4,CDLENGULFING_Bull,2.0,84.0,Bull,2018-01-19
11474.98,13099.0,11412.45,12799.94,28768.857827,251647,14389.196005,0.115465124993682,0.10927147038888521,20,2018,1,5,CDL3OUTSIDE_Bull,3.0,34.0,Bull,2018-01-20
12799.8,12799.8,10965.0,11530.0,41379.773426,360207,20574.760061,-0.09921452756809801,-0.1044881491336175,21,2018,1,6,CDLBELTHOLD_Bear,2.0,63.0,Bear,2018-01-21
11530.0,11926.35,9900.24,10760.05,43752.606791,363264,21300.575828,-0.06677797051170864,-0.06911213271797718,22,2018,1,0,NO_PATTERN,0.0,0.0,No,2018-01-22
10760.05,11399.0,9905.0,10799.18,37473.922552,355286,18747.793828,0.0036366002016721133,0.0036300037587387226,23,2018,1,1,CDLRICKSHAWMAN_Bull,5.0,35.0,Bull,2018-01-23
10799.14,11570.48,10500.0,11349.99,27158.587762,293429,13087.393088,0.05100479851247952,0.04974665754802564,24,2018,1,2,CDLHIKKAKE_Bear,2.0,83.0,Bear,2018-01-24
11349.96,11794.05,10950.21,11175.27,20839.954183,221040,10201.386919,-0.015393846161978919,-0.015513561588170759,25,2018,1,3,CDLRICKSHAWMAN_Bull,5.0,35.0,Bull,2018-01-25
11184.7,11643.0,10311.15,11089.0,33056.87196,314720,15330.789553,-0.007719723997720029,-0.007749675310505253,26,2018,1,4,CDLRICKSHAWMAN_Bull,5.0,35.0,Bull,2018-01-26
11089.0,11650.0,10842.69,11491.0,18860.768345,207478,9208.937963,0.03625214176210667,0.03561049430441794,27,2018,1,5,CDLSHORTLINE_Bull,1.0,106.0,Bull,2018-01-27
11499.98,12244.0,11408.0,11879.95,16887.339524,206247,7342.786997,0.0338482290488209,0.0332879848959367,28,2018,1,6,CDLSHORTLINE_Bull,1.0,106.0,Bull,2018-01-28
11879.95,11975.02,11139.55,11251.0,14170.377538,169199,6016.496871,-0.05294214201238223,-0.05439509158249847,29,2018,1,0,CDLCLOSINGMARUBOZU_Bear,4.0,43.0,Bear,2018-01-29
11250.11,11308.42,9900.0,10237.51,25554.372946,259212,11388.096419,-0.09007999288952095,-0.09439858760924733,30,2018,1,1,CDLBELTHOLD_Bear,2.0,63.0,Bear,2018-01-30
