Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1673942400000,21133.65000000,21214.18000000,21128.59000000,21200.95000000,7970.93276000,1673945999999,168785198.10044860,240275,3947.25967000,83586141.54487340,0
1673946000000,21199.51000000,21249.46000000,21145.00000000,21174.92000000,7959.74132000,1673949599999,168604701.27587380,220443,4077.24079000,86366364.06018210,0
1673949600000,21173.90000000,21181.88000000,21082.48000000,21129.69000000,8319.63168000,1673953199999,175807845.53170350,221963,4038.99010000,85356045.84435110,0
1673953200000,21130.43000000,21236.74000000,21103.00000000,21219.75000000,8516.60096000,1673956799999,180307709.63941240,239001,4336.69151000,91814551.35732300,0
1673956800000,21219.21000000,21352.00000000,21190.27000000,21252.23000000,13590.02744000,1673960399999,289003001.44670470,320144,6852.41611000,145727560.36743460,0
1673960400000,21253.23000000,21271.18000000,21177.42000000,21235.07000000,8864.68824000,1673963999999,188168063.29703730,234008,4237.62984000,89954616.32784000,0
1673964000000,21235.07000000,21647.45000000,21056.00000000,21281.66000000,40856.89672000,1673967599999,869240132.64624490,671918,20923.16956000,445236601.06351720,0
1673967600000,21281.66000000,21389.48000000,21030.00000000,21176.06000000,23792.89942000,1673971199999,505001730.31758540,423228,11623.00451000,246739106.11897300,0
1673971200000,21176.06000000,21250.00000000,21084.00000000,21162.92000000,14338.97407000,1673974799999,303406194.12990520,293834,7008.40484000,148308841.80321950,0
1673974800000,21161.92000000,21246.15000000,21086.00000000,21220.78000000,10081.28681000,1673978399999,213336523.57809050,239500,5018.18136000,106208572.10814980,0
1673978400000,21222.39000000,21412.00000000,21184.95000000,21362.89000000,12955.34767000,1673981999999,275925059.18674270,285233,6719.52648000,143134101.55190400,0
1673982000000,21362.89000000,21383.14000000,21283.27000000,21336.46000000,11282.92286000,1673985599999,240737493.28803170,238846,5432.75354000,115921538.09390890,0
1673985600000,21336.46000000,21398.48000000,21263.22000000,21390.44000000,10341.90563000,1673989199999,220709373.36743170,232045,5127.25013000,109429805.21718500,0
1673989200000,21391.82000000,21413.15000000,21274.56000000,21312.63000000,8660.07552000,1673992799999,184655553.57598990,207039,4246.42431000,90547754.37370940,0
1673992800000,21312.63000000,21339.99000000,21206.63000000,21232.38000000,6080.38445000,1673996399999,129428015.92295100,158792,2943.59705000,62660493.30764300,0
1673996400000,21232.38000000,21275.00000000,21121.71000000,21134.81000000,10620.16497000,1673999999999,225074786.89449580,233170,5128.26541000,108692367.55616530,0
1674000000000,21132.29000000,21242.55000000,21103.15000000,21202.97000000,9357.75343000,1674003599999,198188018.20501710,247996,4699.62296000,99534411.91211950,0
1674003600000,21202.42000000,21264.98000000,21175.00000000,21243.96000000,8085.67819000,1674007199999,171579668.92483420,225710,4134.91604000,87748399.84247500,0
1674007200000,21243.96000000,21352.46000000,21152.00000000,21292.56000000,12814.49515000,1674010799999,272356833.68974270,312450,6414.02524000,136333153.84929860,0
1674010800000,21293.76000000,21377.44000000,21255.69000000,21258.54000000,10043.27270000,1674014399999,214056171.99448280,262374,4951.86445000,105547494.69566950,0
